City,lat,lon,2008,2009,2010,2011,2012,2013,2014
Shanghai,31.2241459,121.5161362,74,65,71,65,60,70,112
Urumqi,43.7878685,87.5862732,207,206,137,146,223,151,139
Lanzhou,36.0699615,103.7502136,121,98,120,105,110,97,118
Beijing,39.9065704,116.3876495,83,82,79,51,86,126,139
Xiamen,24.4596405,118.0895386,68,57,67,59,46,52,93
Hohhot,40.8317299,111.6611023,76,85,82,59,79,107,99
Harbin,45.7555313,126.6395111,84,102,83,93,81,153,165
Dalian,38.8995514,121.5577011,72,66,69,67,74,97,110
Guangzhou,23.1133709,113.2552338,58,69,72,58,49,62,127
Chengdu,30.6718998,104.075798,88,96,110,87,72,135,223
Lhasa,29.653273,91.171072,71,49,46,48,42,70,149
Kunming,25.0645294,102.6987686,68,61,77,54,54,86,105
Wuhan,30.5534954,114.2532578,93,84,96,75,85,112,222
Xi'an,34.2632484,108.9318314,84,104,95,105,105,199,182
Zhengzhou,34.7640305,113.6594086,83,87,89,81,108,226,166
